test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,500,contains,7.580000000000001e-07,4.766000000000001e-06,4.766000000000001e-06
bloom,500,contains,8.580000000000001e-07,4.799e-06,4.799e-06
bloom,500,contains,6.800000000000001e-07,4.475e-06,4.475e-06
bloom,500,contains,6.860000000000001e-07,4.605e-06,4.605e-06
bloom,500,contains,7.73e-07,5.458e-06,5.458e-06
bloom,500,contains,8.480000000000001e-07,5.329e-06,5.329e-06
bloom,500,contains,9.78e-07,9.283e-06,9.283e-06
bloom,500,contains,7.5e-07,4.738e-06,4.738e-06
bloom,500,contains,7.02e-07,4.625000000000001e-06,4.625000000000001e-06
bloom,500,contains,7.590000000000001e-07,7.423000000000001e-06,7.423000000000001e-06
bloom,500,contains,8.32e-07,4.782e-06,4.782e-06
bloom,500,contains,7.820000000000001e-07,4.5160000000000005e-06,4.5160000000000005e-06
bloom,500,contains,7.81e-07,4.952e-06,4.952e-06
bloom,500,contains,7.92e-07,4.8370000000000004e-06,4.8370000000000004e-06
bloom,500,contains,7.57e-07,4.795000000000001e-06,4.795000000000001e-06
bloom,500,contains,7.280000000000001e-07,4.688000000000001e-06,4.688000000000001e-06
bloom,500,contains,8.05e-07,4.9560000000000005e-06,4.9560000000000005e-06
bloom,500,contains,8.820000000000001e-07,9.773000000000001e-06,9.773000000000001e-06
bloom,500,contains,8.060000000000001e-07,4.93e-06,4.93e-06
bloom,500,contains,8.16e-07,7.335e-06,7.335e-06
bloom,500,contains,7.49e-07,4.845e-06,4.845e-06
bloom,500,contains,7.6e-07,4.648e-06,4.648e-06
bloom,500,contains,8.620000000000001e-07,5.387e-06,5.387e-06
bloom,500,contains,1.02e-06,6.013000000000001e-06,6.013000000000001e-06
bloom,500,contains,8.200000000000001e-07,4.85e-06,4.85e-06
bloom,500,contains,8.140000000000001e-07,7.425e-06,7.425e-06
bloom,500,contains,8.240000000000001e-07,4.8830000000000005e-06,4.8830000000000005e-06
bloom,500,contains,7.520000000000001e-07,4.773000000000001e-06,4.773000000000001e-06
bloom,500,contains,7.25e-07,5.017e-06,5.017e-06
bloom,500,contains,7.87e-07,4.9440000000000004e-06,4.9440000000000004e-06
bloom,500,contains,7.23e-07,4.659000000000001e-06,4.659000000000001e-06
bloom,500,contains,8.100000000000001e-07,5.017e-06,5.017e-06
bloom,500,contains,7.92e-07,7.454e-06,7.454e-06
bloom,500,contains,8.42e-07,7.637e-06,7.637e-06
bloom,500,contains,7.61e-07,4.485e-06,4.485e-06
bloom,500,contains,7.420000000000001e-07,4.806e-06,4.806e-06
bloom,500,contains,7.05e-07,4.868000000000001e-06,4.868000000000001e-06
bloom,500,contains,7.56e-07,4.845e-06,4.845e-06
bloom,500,contains,7.84e-07,4.9610000000000004e-06,4.9610000000000004e-06
bloom,500,contains,8.63e-07,5.387e-06,5.387e-06
bloom,500,contains,8.300000000000001e-07,5.282e-06,5.282e-06
bloom,500,contains,9.59e-07,5.4e-06,5.4e-06
bloom,500,contains,7.510000000000001e-07,4.661e-06,4.661e-06
bloom,500,contains,7.830000000000001e-07,4.774e-06,4.774e-06
bloom,500,contains,8.04e-07,4.602e-06,4.602e-06
bloom,500,contains,8.000000000000001e-07,4.845e-06,4.845e-06
bloom,500,contains,6.85e-07,4.6570000000000005e-06,4.6570000000000005e-06
bloom,500,contains,7.64e-07,7.191e-06,7.191e-06
bloom,500,contains,6.63e-07,4.4550000000000005e-06,4.4550000000000005e-06
bloom,500,contains,8.030000000000001e-07,5.1700000000000005e-06,5.1700000000000005e-06
bloom,500,contains,7.56e-07,4.698000000000001e-06,4.698000000000001e-06
bloom,500,contains,7.990000000000001e-07,4.724e-06,4.724e-06
bloom,500,contains,6.91e-07,4.573e-06,4.573e-06
bloom,500,contains,7.43e-07,4.417e-06,4.417e-06
